experiment_id,article_id,row_idx,row_text,row_label
585,12,0,"['A', 'judge', 'in', 'the', 'US', 'State', 'of', 'Arizona', 'has', 'ruled', 'that', 'a', '1901', 'ban', 'on', 'nearly', 'all', 'abortions', 'can', 'now', 'be', 'reintroduced']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
585,12,1,"['Only', 'terminations', 'to', 'save', 'the', ""mother's"", 'life', 'will', 'be', 'permitted', 'The', 'Republican', 'attorney', 'general', 'of', 'Arizona', 'said', 'he']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
585,12,2,"['applauded', 'the', ""court's"", 'decision', 'It', 'was', 'made', 'possible', 'by', 'the', 'Supreme', 'Court', 'in', 'Washington', 'overturning', 'the', '1973']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
585,12,3,"['Roe', 'v', 'Wade', 'ruling', 'which', 'granted', 'the', 'right', 'for', 'all', 'women', 'in', 'the', 'United', 'States', 'to', 'have', 'access', 'to', 'abortion', 'A']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,4,"['Colombian', 'dissident', 'group', 'which', 'rejected', 'the', '2016', 'peace', 'deal', 'with', 'the', ""country's"", 'largest', 'guerrilla', 'movement', 'the']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
585,12,5,"['FARC', 'has', 'said', 'it', 'is', 'prepared', 'to', 'stop', 'its', 'attacks', 'against', 'government', 'forces', 'to', 'help', 'ceasefire', 'talks', 'The']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,6,"['Colombian', 'president', 'Gustavo', 'Petro', 'a', 'former', 'guerrilla', 'fighter', 'took', 'office', 'last', 'month', 'promising', 'to', 'fully']","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,7,"['implement', 'the', '2016', 'deal', 'and', 'reach', 'a', 'settlement', 'with', 'all', 'armed', 'groups', 'The', ""world's"", 'longest', 'ruling', 'head', 'of']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,8,"['state', 'Present', 'Teodoro', 'Obiang', 'of', 'Equatorial', 'Guinea', 'will', 'run', 'for', 'office', 'again', 'in', 'elections', 'due', 'to', 'be', 'held', 'in']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,9,"['November', 'His', 'son', 'vice', 'president', 'Teodoro', 'Nguema', 'Obiang', 'Mangue', 'said', 'that', 'his', 'father', 'had', 'been', 'nominated']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
585,12,10,"['due', 'to', 'his', 'charisma', 'leadership', 'and', 'political', 'experience', 'And', 'the', 'former', 'tennis', ""men's"", 'world', 'number', 'one', 'Roger']","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,11,"['Federer', 'has', 'bade', 'a', 'tearful', 'farewell', 'to', 'the', 'sport', 'The', 'Swiss', 'player', 'joined', 'forces', 'with', 'his', 'former', 'rival', 'Rafael']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,12,"['Nadal', 'for', 'a', 'doubles', 'match', 'in', 'the', 'Laver', 'Cup', 'in', 'London', 'Russell', 'Fuller', 'was', 'watching', 'There', 'was', 'one', 'fleeting']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,13,"['match', 'point', 'on', 'Roger', ""Federer's"", 'serve', 'but', 'it', 'was', 'the', 'Americans', 'representing', 'Team', 'World', 'who', 'won', 'the', 'final']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,14,"['point', 'Sympathetic', 'applause', 'soon', 'made', 'way', 'for', 'loud', 'cheers', 'as', 'Federal', 'hugged', 'European', 'teammates', 'like', 'Novak']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
585,12,15,"['Djokovic', 'and', 'Andy', 'Murray']","[1, 1, 1, 1]"
590,15,0,"[""Canada's"", 'emergency', 'preparedness', 'minister', 'Bill', 'Blair', 'said', 'it', 'will', 'take', 'several', 'months', 'to', 'restore', 'some', 'of', 'the']","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
590,15,1,"['damage', 'inflicted', 'by', 'Tropical', 'Storm', 'Fiona', 'The', 'storm', 'lashed', 'the', 'Atlantic', 'coast', 'of', 'Canada', 'at', 'the', 'weekend']","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
590,15,2,"['bringing', 'with', 'it', 'winds', 'of', 'up', 'to', '170', 'kilometres', 'an', 'hour', 'Houses', 'along', 'the', 'coast', 'were', 'destroyed', 'trees', 'uprooted']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
590,15,3,"['and', 'power', 'knocked', 'out', 'The', 'value', 'of', 'the', 'British', 'pound', 'has', 'slumped', 'to', 'an', 'all-time', 'low', 'against', 'the', 'dollar', 'It']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
